ID,N_VICTIMAS,AÑO,MES,DIA,HORA,LUGAR_DEL_HECHO,TIPO_DE_RUTA,COMUNA,X,Y,VICTIMA,ACUSADO,ROL,SEXO,EDAD
2017-0001,1,2017,1,2,1,AV. JUAN B JUSTO Y ACHUPALLAS,avenida,11,-58.46594230,-34.61028571,moto,cargas,conductor,masculino,18
2017-0003,1,2017,1,5,3,OLAVARRIA Y AV. VELEZ SARSFIELD,avenida,4,-58.38957669,-34.64410277,cargas,cargas,pasajero_acompañante,masculino,33
2017-0007,1,2017,1,11,17,LIMA Y MEXICO,calle,1,-58.38161660,-34.61529543,peaton,multiple,peaton,masculino,48
2017-0008,1,2017,1,16,0,JOSE A CABRERA Y BONPLAND,calle,14,-58.43917004,-34.58494351,moto,pasajeros,conductor,masculino,29
2017-0009,1,2017,1,16,13,AU 25 DE MAYO Y AV. BOEDO,autopista,5,-58.41595919,-34.62743346,moto,cargas,conductor,masculino,36
2017-0010,1,2017,1,16,16,AV. DIRECTORIO Y RIGLOS,avenida,6,-58.43564880,-34.62828656,moto,auto,conductor,masculino,23
2017-0011,1,2017,1,22,2,AV. GRAL. PAZ Y AV. R. BALBIN,avenida,12,-58.50073810,-34.54979510,moto,objeto fijo,pasajero_acompañante,femenino,29
2017-0012,1,2017,1,24,14,TRAFUL Y DIOGENES TABORDA,calle,4,-58.40969005,-34.65055290,moto,cargas,conductor,masculino,30
2017-0013,1,2017,1,27,7,IRIARTE 3055,avenida,4,-58.38972622,-34.65098981,peaton,cargas,peaton,masculino,4
2017-0014,1,2017,1,28,8,AV. DONADO Y ARIAS,avenida,12,-58.49185972,-34.55046754,moto,multiple,pasajero_acompañante,femenino,22
2017-0015,1,2017,2,2,15,CORDOBA AV. Y CALLAO,avenida,2,-58.39293417,-34.59963642,peaton,auto,peaton,masculino,82
2017-0016,1,2017,2,3,5,"AU 25 DE MAYO, KILOMETRO 8.3, SENTIDO HACIA PROVINCIA DE BUENOS AIRES, C.A.B.A.",autopista,1,-58.38099494,-34.62288231,moto,cargas,conductor,masculino,27
2017-0017,1,2017,2,6,8,AV. JUAN B JUSTO Y PARAGUAY,avenida,14,-58.42901200,-34.58095431,moto,auto,conductor,masculino,32
2017-0018,1,2017,2,9,7,AV. GRAL. PAZ Y AV. DE LOS CORRALES,avenida,9,-58.50877521,-34.66977709,moto,auto,conductor,masculino,30
2017-0021,1,2017,2,18,5,SARMIENTO Y LIBERTAD,calle,1,-58.38362373,-34.60509972,moto,pasajeros,conductor,masculino,43
2017-0024,1,2017,2,23,20,AV. RIVADAVIA 7121,avenida,7,-58.46589308,-34.62955795,peaton,pasajeros,peaton,masculino,39
2017-0025,1,2017,2,24,17,AV. FERNANDEZ DE LA CRUZ Y RIVERA INDARTE,avenida,7,-58.43614426,-34.65424640,moto,auto,conductor,masculino,23
2017-0026,2,2017,2,26,5,AV. PERITO MORENO Y FOURNIER,avenida,4,-58.41842777,-34.64979057,auto,objeto fijo,pasajero_acompañante,femenino,23
2017-0026,2,2017,2,26,5,AV. PERITO MORENO Y FOURNIER,avenida,4,-58.41842777,-34.64979057,auto,objeto fijo,conductor,masculino,19
2017-0027,1,2017,2,26,21,AV. CASEROS 1429,avenida,1,-58.38332245,-34.63193250,peaton,auto,peaton,masculino,37
2017-0028,1,2017,2,28,9,AV. GAONA Y FRAGATA SARMIENTO,avenida,6,-58.45475488,-34.61196327,peaton,auto,peaton,masculino,87
